Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,ALL,AMGN,AMT,AMZN,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SLB,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WM,WMT,XOM
2008-01-02,5.9,,18.49,26.86,41.71,727.62,34.61,33.76,32.52,4.81,39.59,63.48,30.61,55.87,32.75,115.24,144.74,14.92,216.23,45.61,,26.47,6.49,35.84,38.16,48.81,15.07,18.29,28.69,50.25,34.8,27.04,27.01,,28.43,34.62,30.59,3.9,73.86,60.03,146.17,17.01,,17.15,161.7,17.49,39.56,59.0,15.66,27.82,35.99,41.51,28.09,,,18.75,31.67,64.9,16.64,19.84,37.16,14.32,34.76,33.25,,50.78,9.0,31.14,36.47,25.63,10.42,3.76,12.96,7.57,18.43,47.91,47.64,11.47,45.28,,,26.11,32.21,7.59,71.03,18.34,41.46,9.38,33.24,53.21,30.9,,21.75,46.06,22.34,42.43,19.85,,18.15,23.88,18.87,20.68,33.17,52.64
2008-01-03,5.9,,18.38,26.4,41.79,729.56,34.52,33.1,31.91,4.76,39.1,63.75,30.42,56.3,34.16,111.4,151.8,14.91,216.3,45.44,,26.66,6.36,35.32,38.32,48.08,15.24,18.43,26.81,50.87,34.6,27.28,26.95,,28.52,35.04,30.94,3.81,74.85,60.76,146.33,17.59,,17.15,159.55,17.29,39.76,59.12,15.24,27.68,35.75,41.53,27.9,,,18.95,31.94,66.49,16.33,19.6,37.05,14.21,34.94,33.54,,50.77,9.05,31.12,36.46,25.74,10.52,3.72,12.84,7.51,18.94,49.23,47.95,11.61,45.28,,,25.78,32.67,7.36,72.25,18.33,40.52,9.47,33.28,54.36,30.66,,21.27,46.27,22.27,42.48,19.31,,18.24,22.42,18.49,20.68,32.8,52.82
2008-01-04,5.45,,18.49,26.01,40.36,714.7,34.56,32.46,31.06,4.44,38.11,62.9,30.08,55.22,33.45,107.54,141.83,14.71,211.15,44.25,,26.97,6.18,34.79,37.15,47.03,14.72,18.0,27.17,50.19,33.22,26.6,26.41,,28.5,33.8,31.3,3.62,72.09,59.04,143.31,17.22,,16.44,155.72,16.72,38.49,56.99,14.0,26.93,33.89,41.47,27.27,,,18.99,31.22,65.61,15.82,18.59,36.49,14.05,34.54,33.08,,50.19,8.99,30.86,35.29,25.02,10.81,3.52,12.64,6.88,18.05,47.55,47.8,11.43,45.09,,,25.19,32.13,7.12,69.21,18.62,38.41,9.36,32.28,53.34,28.6,,20.53,45.51,21.59,41.73,18.75,,17.9,21.93,17.82,19.91,32.34,51.83
2008-01-07,5.38,,19.05,25.31,40.24,727.62,34.59,32.88,30.88,4.44,38.28,60.73,30.11,59.22,33.91,105.18,138.96,14.87,211.29,44.38,,27.37,6.24,35.46,36.64,47.26,14.44,18.0,27.85,49.54,33.39,25.92,26.44,,29.24,33.73,31.98,3.64,71.57,58.98,143.87,17.89,,16.25,151.67,16.99,38.36,56.38,14.13,28.05,33.33,42.11,27.54,,,19.44,32.88,65.46,15.84,18.53,37.11,14.27,34.95,33.48,,49.8,9.27,31.44,34.58,25.18,11.31,3.55,12.72,6.17,18.23,46.72,48.92,11.63,45.39,,,24.79,31.98,7.23,68.37,19.0,39.21,9.48,32.89,54.28,27.29,,20.5,46.23,21.4,41.62,18.92,,18.21,22.43,17.95,20.24,32.93,51.35
2008-01-08,5.18,,19.55,25.31,39.22,717.93,34.17,33.57,29.97,4.39,37.19,58.56,28.99,55.97,32.66,102.28,135.21,15.22,202.92,43.36,,27.38,6.1,32.69,35.82,46.54,13.68,17.52,27.36,48.9,33.12,25.34,25.91,,29.15,33.39,32.48,3.61,70.96,58.79,140.76,17.57,,15.81,147.6,16.57,37.71,55.0,13.75,27.3,30.19,42.16,26.45,,,19.52,33.79,65.48,15.4,18.3,36.51,14.12,34.69,32.41,,49.24,9.41,32.39,33.21,24.34,11.24,3.33,12.66,6.3,17.33,45.56,49.32,11.75,45.51,,,24.48,30.75,7.81,68.3,19.1,37.36,9.08,32.87,54.24,29.05,,20.51,45.68,20.73,40.91,18.11,,17.82,21.89,17.18,20.35,32.51,50.69
2008-01-09,5.43,,19.89,25.19,39.46,729.95,34.65,34.52,30.36,4.26,38.07,58.85,29.24,58.4,33.2,102.85,134.3,15.47,205.54,43.41,,27.72,6.26,32.81,36.35,48.19,13.58,18.08,27.11,49.77,32.84,25.46,25.59,,29.47,33.32,33.01,3.59,70.96,61.05,142.36,18.19,,16.35,149.35,16.56,38.04,55.4,14.05,27.45,29.29,42.7,26.82,,,20.04,34.27,66.86,15.5,18.18,36.76,14.2,35.65,32.86,,49.23,9.51,32.84,34.36,25.06,11.22,3.29,12.69,6.63,17.71,46.42,49.82,11.98,45.42,,,25.7,30.82,7.65,69.64,19.48,38.5,9.04,33.52,52.9,28.72,,20.49,45.67,20.59,40.93,18.48,,18.02,21.58,17.53,19.98,33.17,51.54
2008-01-10,5.39,,19.92,25.04,39.25,747.14,35.05,34.46,31.02,4.21,37.94,60.36,29.66,59.18,33.02,102.78,140.39,15.38,210.17,43.53,,27.69,6.32,32.49,36.43,50.04,13.9,18.08,27.43,49.41,33.14,25.92,26.02,,29.43,33.23,32.5,3.69,72.88,60.99,142.83,18.09,,16.18,153.37,16.93,38.19,56.31,13.92,27.61,29.74,42.77,27.53,,,20.13,34.27,66.86,15.59,18.13,37.2,14.61,35.68,33.7,,49.24,9.47,32.83,34.85,24.98,11.31,3.53,12.81,6.49,17.77,44.64,50.35,12.06,45.38,,,25.84,31.0,7.99,68.57,19.35,39.46,9.13,34.61,53.41,29.1,,20.46,45.59,21.01,42.74,19.08,,18.44,22.08,18.1,20.29,34.23,51.59
2008-01-11,5.23,,20.15,24.43,38.05,745.46,34.84,34.5,30.78,4.05,34.13,59.01,29.06,59.02,32.31,96.24,137.18,15.12,213.54,42.62,,27.18,6.28,32.24,36.06,47.59,13.62,17.82,26.81,48.75,32.55,25.02,25.72,,29.05,32.25,32.08,3.58,72.04,59.43,139.85,18.26,,15.97,154.8,16.55,37.51,55.04,13.58,27.08,29.13,42.75,27.22,,,19.58,34.24,67.43,15.24,16.57,34.74,14.26,35.17,33.43,,47.63,9.49,32.87,34.84,24.68,11.19,3.34,12.43,6.2,17.29,44.47,49.22,12.03,43.94,,,26.28,30.7,7.78,66.39,19.13,39.6,8.85,33.54,52.44,28.54,,20.1,45.44,20.52,42.7,19.01,,18.03,21.55,18.28,20.02,33.75,50.83
2008-01-14,5.41,,19.97,24.97,38.48,766.65,35.32,34.72,31.52,4.14,34.52,59.85,29.6,59.98,32.75,100.52,140.1,15.42,217.28,43.44,,27.17,6.48,32.6,36.21,46.35,13.91,18.11,26.48,48.88,33.31,25.06,25.75,,29.15,32.37,32.38,3.65,72.56,59.32,141.0,18.06,,16.36,157.06,17.01,38.17,58.01,14.26,27.27,29.52,42.8,27.55,,,19.74,34.46,66.59,15.64,16.48,35.15,14.21,34.87,33.73,,48.19,9.45,32.45,35.21,25.02,11.2,3.25,12.44,6.62,18.08,46.08,48.67,12.01,44.01,,,27.21,30.92,7.69,67.46,19.06,39.44,8.92,33.9,53.05,29.84,,20.44,45.04,20.72,42.9,19.31,,18.24,21.3,18.29,20.69,33.71,51.13
2008-01-15,5.12,,19.88,24.96,37.92,747.78,34.62,34.33,30.81,4.01,33.17,57.06,28.59,59.31,31.27,103.28,136.04,14.91,201.43,42.23,,26.92,6.48,31.79,35.0,45.83,13.55,17.81,26.26,47.46,32.35,25.05,25.32,,28.66,31.34,32.28,3.53,71.38,58.58,137.31,17.71,,15.96,150.55,16.99,37.34,57.39,14.01,27.35,28.47,42.68,26.1,,,19.53,34.11,65.8,15.59,16.19,34.38,13.88,34.0,33.6,,47.38,9.42,31.58,33.93,24.74,11.15,3.15,11.69,6.13,17.46,44.02,47.35,11.81,43.64,,,26.77,30.56,7.41,62.8,18.91,38.22,8.72,33.48,52.21,30.16,,19.98,44.66,20.19,42.31,19.37,,17.89,21.11,17.17,20.4,33.23,50.11
